,link,metro,price_meter,index,desc,price,address,pub_datetime
1381,https://www.cian.ru/rent/flat/226214596/,Фили,Комм.платеживключены(безсчётчиков),1380,"1-комн. апарт., 30 м², 10/16 этаж",60000/мес.,"Москва, ЗАО, р-н Филевский парк, м. Фили, Большая Филевская улица, 4",2020-02-16 01:49:00
1174,https://www.cian.ru/rent/flat/217173233/,Шелепиха,Комм.платеживключены(безсчётчиков),1173,"1-комн. апарт., 35 м², 3/37 этаж",65000/мес.,"Москва, СЗАО, р-н Хорошево-Мневники, м. Шелепиха, Шелепихинская набережная, 34",2020-02-20 14:29:00
1142,https://www.cian.ru/rent/flat/159202343/,Люблино,Комм.платеживключены(безсчётчиков),1141,"1-комн. кв., 33 м², 2/5 этаж",32000/мес.,"Москва, ЮВАО, р-н Люблино, м. Люблино, проспект 40 лет Октября, 14к2",2020-02-27 22:40:00
1390,https://www.cian.ru/rent/flat/221417614/,Минская,Комм.платеживключены(безсчётчиков),1389,"1-комн. кв., 71 м², 19/26 этаж",80000/мес.,"Москва, ЗАО, р-н Раменки, м. Минская, улица Улофа Пальме, 1",2020-02-28 12:30:00
1350,https://www.cian.ru/rent/flat/226369583/,Молодежная,Комм.платеживключены(безсчётчиков),1349,"1-комн. кв., 50 м², 8/22 этаж",48000/мес.,"Москва, ЗАО, р-н Кунцево, м. Молодежная, Рублевское шоссе, 20К3",2020-02-29 20:40:00
1415,https://www.cian.ru/rent/flat/214062845/,None,Комм.платеживключены(безсчётчиков),1414,"1-комн. кв., 23 м², 6/16 этаж",22000/мес.,"Москва, ЗАО, р-н Очаково-Матвеевское, Аминьевское шоссе, 15",2020-03-02 13:50:00
1106,https://www.cian.ru/rent/flat/227082708/,Шоссе Энтузиастов,Комм.платеживключены(безсчётчиков),1105,"1-комн. кв., 40 м², 7/9 этаж",40000/мес.,"Москва, ВАО, р-н Соколиная гора, м. Шоссе Энтузиастов, улица Уткина, 45А",2020-03-02 19:17:00
1332,https://www.cian.ru/rent/flat/227088313/,Митино,Комм.платеживключены(безсчётчиков),1331,"1-комн. кв., 40,1 м², 21/25 этаж",40000/мес.,"Москва, СЗАО, р-н Митино, м. Митино, Митинская улица, 28к2",2020-03-02 21:51:00
1296,https://www.cian.ru/rent/flat/227089357/,Сходненская,Комм.платеживключены(безсчётчиков),1295,"1-комн. кв., 43 м², 9/14 этаж",35000/мес.,"Москва, СЗАО, р-н Южное Тушино, м. Сходненская, улица Свободы, 40К1",2020-03-02 22:27:00
1099,https://www.cian.ru/rent/flat/227103013/,Люблино,Комм.платеживключены(безсчётчиков),1098,"1-комн. кв., 37 м², 7/9 этаж",33000/мес.,"Москва, ЮВАО, р-н Люблино, м. Люблино, Совхозная улица, 18К4",2020-03-03 08:13:00
1438,https://www.cian.ru/rent/flat/224614259/,None,Комм.платеживключены(безсчётчиков),1437,"1-комн. кв., 38 м², 6/9 этаж",23000/мес.,"Москва, НАО (Новомосковский), Кокошкино дп, улица Дзержинского, 2",2020-03-03 14:39:00
1240,https://www.cian.ru/rent/flat/186208179/,Люблино,Комм.платеживключены(безсчётчиков),1239,"1-комн. кв., 33 м², 2/5 этаж",30000/мес.,"Москва, ЮВАО, р-н Люблино, м. Люблино, Краснодарская улица, 23",2020-03-04 16:00:00
