,Unnamed: 0,price_per_month,square,okrug,price_per_meter
0,1381,60000,30,ЗАО,2000.0
1,1174,65000,35,СЗАО,1857.14
2,1142,32000,33,ЮВАО,969.7
3,1390,80000,71,ЗАО,1126.76
4,1350,48000,50,ЗАО,960.0
5,1415,22000,23,ЗАО,956.52
6,1106,40000,40,ВАО,1000.0
7,1332,40000,40,СЗАО,1000.0
8,1296,35000,43,СЗАО,813.95
9,1099,33000,37,ЮВАО,891.89
10,1438,23000,38,НАО (Новомосковский),605.26
11,1240,30000,33,ЮВАО,909.09
12,1135,29000,39,СВАО,743.59
13,1113,25000,47,ЗелАО,531.91
14,1414,22000,40,ЗелАО,550.0
15,1265,33000,38,СЗАО,868.42
16,1318,38000,38,САО,1000.0
18,1394,110000,46,САО,2391.3
19,1092,37000,32,ЮАО,1156.25
20,1239,30000,33,САО,909.09
21,1180,23000,36,ТАО (Троицкий),638.89
22,1255,32000,40,ВАО,800.0
23,1413,22000,35,ТАО (Троицкий),628.57
24,1212,29000,30,ЗАО,966.67
25,1437,23000,33,НАО (Новомосковский),696.97
26,1366,54000,39,ЮВАО,1384.62
27,1436,23000,27,НАО (Новомосковский),851.85
28,1364,53000,40,ЗАО,1325.0
29,1386,65000,36,ЦАО,1805.56
30,1361,50000,45,ЗАО,1111.11
31,1149,35000,34,ЮЗАО,1029.41
32,1449,24000,28,НАО (Новомосковский),857.14
33,1254,32000,35,ЮЗАО,914.29
34,1155,38000,50,ЮАО,760.0
35,1338,44900,20,СВАО,2245.0
36,1360,50000,35,ЦАО,1428.57
37,1206,28000,35,ВАО,800.0
38,1412,22000,42,ЗелАО,523.81
39,1295,35000,35,ЮЗАО,1000.0
40,1294,35000,40,ЮАО,875.0
41,1359,50000,43,САО,1162.79
42,1103,37000,38,ВАО,973.68
43,1448,24000,39,САО,615.38
44,1411,22000,35,НАО (Новомосковский),628.57
45,1380,60000,33,САО,1818.18
46,1453,24999,44,ЗелАО,568.16
47,1238,30000,38,СЗАО,789.47
48,1264,33000,35,НАО (Новомосковский),942.86
49,1293,35000,38,ЮАО,921.05
50,1299,36000,39,ЗАО,923.08
51,1435,23000,20,СВАО,1150.0
52,1434,23000,17,ВАО,1352.94
53,1253,32000,36,ЮЗАО,888.89
55,1237,30000,40,НАО (Новомосковский),750.0
56,1410,22000,38,ЗелАО,578.95
57,1188,25000,38,НАО (Новомосковский),657.89
58,1337,43000,46,САО,934.78
59,1447,24000,40,ЮВАО,600.0
60,1248,31000,37,ЮАО,837.84
61,1446,24000,38,ЮАО,631.58
62,1211,29000,39,ЮАО,743.59
63,1154,38000,39,НАО (Новомосковский),974.36
64,1095,33000,38,САО,868.42
65,1186,25000,38,ЮВАО,657.89
66,1433,23000,33,НАО (Новомосковский),696.97
67,1409,22000,40,ЗелАО,550.0
68,1346,45000,40,ЗАО,1125.0
69,1331,40000,36,ЦАО,1111.11
70,1134,29000,38,ЮЗАО,763.16
71,1432,23000,35,САО,657.14
72,1445,24000,34,ТАО (Троицкий),705.88
73,1373,57000,42,ЦАО,1357.14
74,1249,31000,45,НАО (Новомосковский),688.89
75,1263,33000,38,ВАО,868.42
76,1358,50000,40,ЗАО,1250.0
77,1292,35000,37,ЗАО,945.95
78,1317,38000,32,ЗАО,1187.5
79,1236,30000,33,ЮАО,909.09
80,1094,60000,40,ЦАО,1500.0
81,1086,30000,35,ЮВАО,857.14
82,1408,22000,27,ЗелАО,814.81
83,1185,25000,32,ВАО,781.25
84,1330,40000,36,ЦАО,1111.11
85,1391,84000,42,ЦАО,2000.0
86,1125,25000,30,ЮАО,833.33
87,1198,27999,31,СВАО,903.19
88,1407,22000,24,ЗелАО,916.67
89,1262,33000,39,ЗелАО,846.15
90,1406,22000,35,ЗелАО,628.57
91,1196,27000,35,ЮЗАО,771.43
92,1431,23000,38,ЗелАО,605.26
93,1195,27000,18,НАО (Новомосковский),1500.0
94,1205,28000,37,ЮВАО,756.76
95,1111,70000,32,ЦАО,2187.5
96,1235,30000,40,ЮВАО,750.0
97,1329,40000,40,ЮЗАО,1000.0
98,1430,23000,39,ЗелАО,589.74
99,1362,50000,34,ЦАО,1470.59
100,1429,23000,40,ЗелАО,575.0
101,1301,36800,40,СВАО,920.0
102,1357,50000,38,СВАО,1315.79
103,1161,42999,35,СВАО,1228.54
104,1138,30000,20,ЮВАО,1500.0
105,1316,38000,35,ЮАО,1085.71
106,1234,30000,42,ЮВАО,714.29
107,1129,27000,20,ЮАО,1350.0
108,1233,30000,39,ЗАО,769.23
109,1232,30000,35,ЮАО,857.14
110,1261,33000,35,СВАО,942.86
111,1398,15000,42,НАО (Новомосковский),357.14
112,1132,28000,39,ЮЗАО,717.95
113,1319,39000,37,ЮЗАО,1054.05
114,1428,23000,40,ЗелАО,575.0
115,1427,23000,36,НАО (Новомосковский),638.89
116,1243,30000,38,ЗАО,789.47
117,1247,31000,38,ЮАО,815.79
118,1210,29000,33,СЗАО,878.79
119,1444,24000,48,ЮВАО,500.0
120,1083,45000,40,СЗАО,1125.0
121,1405,22000,38,ЗелАО,578.95
122,1291,35000,35,ЮЗАО,1000.0
123,1242,30000,39,ЮАО,769.23
124,1374,58000,50,САО,1160.0
125,1290,35000,42,ВАО,833.33
126,1306,37000,42,ВАО,880.95
127,1315,38000,43,СЗАО,883.72
128,1385,65000,48,ЦАО,1354.17
129,1137,30000,39,ЮАО,769.23
130,1177,22000,39,ВАО,564.1
131,1144,34000,39,ВАО,871.79
132,1328,40000,48,ЮВАО,833.33
133,1426,23000,16,ВАО,1437.5
134,1347,46000,35,ЦАО,1314.29
135,1118,32000,30,ЮАО,1066.67
136,1289,35000,36,СЗАО,972.22
137,1204,28000,32,ЗАО,875.0
138,1244,30990,37,СВАО,837.57
139,1379,60000,40,ЦАО,1500.0
140,1288,35000,40,СВАО,875.0
141,1500,25000,34,ЗелАО,735.29
142,1499,25000,48,ЗелАО,520.83
143,1356,50000,42,ВАО,1190.48
144,1498,25000,39,ЮАО,641.03
145,1287,35000,40,ЦАО,875.0
146,1139,30000,40,ВАО,750.0
147,1286,35000,39,ЮАО,897.44
149,1166,45000,40,ЮВАО,1125.0
